4.64	7.03	13.7	2.18
4.15	7.15	12.96	1.27
17.01	11.06	17.47	8.34
34.19	16.38	21.47	11.91
62.58	19.84	26.2	19.9
40.85	15.19	25.17	8.6
9.52	10.19	22.02	2.25
36.65	14.86	28.8	21.61
95	20.5	37.21	68
34.64	14.29	29.5	14.78
16.46	11.44	22.57	6.96
7.58	9.12	19.48	2.18
27.32	15.04	24.6	21.63
17.95	11.52	23.4	6.65
19.63	12.55	23.26	7.72
58.4	17.64	30.22	24.96
23.3	13.43	26.45	9.5
